county_fips,county_name,population,adult_population,uninsured_places_pct,diabetes_pct,obesity_pct,high_blood_pressure_pct,smoking_pct,physical_inactivity_pct,poor_physical_health_pct,poor_mental_health_pct,depression_pct
28017,Chickasaw,"16,812","12,664",12.6,17.7,46.9,48.9,21.3,38.8,17.1,18.5,20.8
28133,Sunflower,"24,811","19,533",14.2,18.3,47.3,50.7,22.5,39.4,16.4,18.6,18.5
28103,Noxubee,"9,990","7,455",11.7,19.5,46.5,52.4,21.0,38.4,16.8,18.1,19.0
28007,Attala,"17,509","13,130",10.5,17.7,44.2,49.1,19.8,36.6,16.2,17.7,20.7
28081,Lee,"82,959","62,379",9.9,14.1,40.7,41.2,17.9,33.4,14.1,17.3,21.4
28039,George,"25,206","18,519",10.4,13.6,40.8,42.6,18.5,30.9,15.0,17.7,23.3
28069,Kemper,"8,654","7,134",9.7,17.5,45.4,49.6,17.4,35.0,14.9,16.9,18.0
28047,Harrison,"211,044","161,954",9.1,13.9,34.4,42.4,17.8,29.1,14.1,17.2,24.0
28111,Perry,"11,368","8,866",11.4,17.0,41.9,45.6,23.4,37.9,18.3,18.9,23.6
28077,Lawrence,"11,713","8,918",11.7,17.9,43.4,48.4,22.2,37.4,17.8,18.6,22.4
28145,Union,"28,125","21,138",9.9,13.6,40.1,41.4,16.6,29.9,14.2,16.4,21.2
28159,Winston,"17,543","13,689",11.0,17.7,44.5,50.2,20.0,34.8,16.5,17.1,20.2
28013,Calhoun,"12,781","9,957",12.4,17.5,41.7,47.2,22.1,38.0,18.1,18.3,22.6
28055,Issaquena,"1,273","1,175",16.1,15.7,44.4,45.8,21.6,36.4,15.3,18.5,17.9
28105,Oktibbeha,"51,427","42,620",9.7,11.1,36.0,32.0,14.2,28.0,12.1,20.9,22.4
28119,Quitman,"5,701","4,388",12.2,21.6,50.3,55.8,22.9,40.9,18.6,19.1,19.6
28153,Wayne,"19,681","14,839",10.9,16.1,45.0,47.8,19.4,34.3,15.6,17.1,20.9
28025,Clay,"18,380","14,241",12.4,18.8,42.0,49.5,20.5,36.6,16.7,18.2,19.9
28125,Sharkey,"3,488","2,649",13.1,24.1,49.6,55.5,23.8,45.5,20.4,18.8,19.2
28095,Monroe,"33,577","26,021",10.1,16.6,40.8,45.3,19.7,33.4,16.1,17.1,21.7
28031,Covington,"18,098","13,625",10.8,16.0,41.3,46.9,19.5,33.9,15.9,17.6,21.9
28089,Madison,"111,113","84,529",7.9,12.0,37.3,40.2,13.3,25.1,11.0,14.4,18.9
28061,Jasper,"16,167","12,480",9.2,18.3,43.6,51.8,18.4,34.8,15.5,16.2,18.8
28005,Amite,"12,619","10,055",10.2,20.5,44.6,53.5,22.2,39.2,18.6,17.1,20.4
28071,Lafayette,"57,615","47,293",9.4,10.9,37.6,35.6,14.0,26.0,12.3,18.8,23.3
28135,Tallahatchie,"12,035","9,630",13.4,17.8,44.8,49.4,22.3,38.4,16.6,18.0,18.7
28041,Greene,"13,552","11,055",10.6,13.8,42.6,42.9,20.1,31.9,14.2,17.4,20.6
28109,Pearl River,"57,261","44,356",9.4,13.8,39.9,42.9,17.4,30.5,14.4,16.7,22.2
28009,Benton,"7,550","5,979",9.4,17.0,43.9,46.6,18.4,33.9,16.0,16.6,21.0
28045,Hancock,"46,094","37,424",9.5,14.7,36.2,43.8,18.9,32.9,15.5,16.6,22.8
28117,Prentiss,"24,792","19,332",9.8,13.3,39.5,41.0,18.4,32.0,14.9,18.0,23.3
28043,Grenada,"21,088","16,046",12.3,17.4,45.1,47.3,21.3,37.8,16.5,17.7,21.8
28023,Clarke,"15,271","11,895",8.1,17.2,44.4,47.0,18.3,33.8,15.8,16.7,20.6
28087,Lowndes,"57,603","43,961",9.7,15.5,43.6,44.5,17.4,33.2,13.8,16.6,19.6
28033,DeSoto,"191,723","144,155",9.6,12.2,40.0,40.8,14.9,28.3,12.2,15.8,20.2
28151,Washington,"42,514","31,706",10.3,19.0,44.5,52.0,18.7,35.4,15.9,16.9,17.8
28097,Montgomery,"9,530","7,375",11.7,20.8,45.4,52.0,21.7,40.8,19.1,18.1,21.2
28107,Panola,"32,661","24,739",11.7,18.3,46.0,47.1,20.7,38.2,17.3,18.2,20.8
28053,Humphreys,"7,333","5,516",14.3,23.7,50.6,55.1,24.8,45.6,20.7,19.5,20.2
28063,Jefferson,"7,087","5,529",10.8,22.1,51.7,54.5,20.9,39.6,17.6,17.6,18.0
28127,Simpson,"25,587","19,705",11.0,16.0,41.6,45.8,19.9,33.6,15.9,17.2,21.6
28161,Yalobusha,"12,364","9,672",10.7,18.1,42.9,49.4,20.7,36.4,16.9,17.4,21.0
28001,Adams,"28,408","22,639",11.4,20.0,43.6,50.3,19.0,35.7,17.0,16.5,19.3
28051,Holmes,"16,121","12,171",14.4,21.7,52.2,54.6,23.3,42.8,18.8,19.4,18.7
28123,Scott,"27,707","20,035",12.1,18.3,45.9,49.1,21.0,38.4,17.8,18.1,22.4
28011,Bolivar,"29,370","22,209",8.9,17.6,45.2,50.6,16.3,33.1,14.6,16.2,18.4
28073,Lamar,"65,783","50,052",8.7,12.5,39.6,38.5,16.7,27.7,12.8,16.6,22.1
28137,Tate,"28,296","21,977",10.4,14.3,39.9,43.2,18.0,30.6,14.1,17.1,21.0
28115,Pontotoc,"31,389","23,223",9.9,13.1,43.2,41.3,17.2,29.1,13.8,16.8,21.8
28143,Tunica,"9,458","6,844",14.5,19.8,50.2,50.7,24.0,42.3,18.4,20.3,20.5
28085,Lincoln,"34,717","26,769",9.6,16.0,43.1,44.9,20.4,34.0,15.7,18.0,21.4
28065,Jefferson Davis,"11,088","8,875",9.2,20.2,43.3,52.6,19.3,37.6,16.6,16.3,19.0
28149,Warren,"42,649","32,730",10.1,15.7,41.8,47.6,17.2,31.4,14.2,16.3,19.8
28021,Claiborne,"8,805","6,919",9.9,19.6,49.2,51.5,18.4,37.4,16.5,19.0,18.7
28129,Smith,"14,092","10,891",10.8,16.6,41.7,46.3,21.0,36.5,16.7,17.9,22.3
28035,Forrest,"78,110","60,593",9.0,13.1,41.7,38.8,15.1,29.4,12.9,17.4,22.1
28139,Tippah,"21,431","16,438",12.0,14.3,41.7,44.7,20.1,34.4,15.5,18.0,22.7
28163,Yazoo,"25,948","20,365",16.7,17.1,45.6,48.1,23.6,38.3,16.7,18.6,19.7
28059,Jackson,"144,975","112,299",9.3,13.2,38.4,42.2,16.6,27.2,13.1,15.9,21.2
28099,Neshoba,"28,673","20,727",11.6,16.7,42.0,45.4,23.3,37.7,17.8,19.7,23.3
28003,Alcorn,"34,204","26,597",9.2,14.8,42.4,41.2,18.2,33.8,15.5,16.8,22.4
28049,Hinds,"217,730","167,418",12.4,17.5,46.3,45.3,19.9,36.4,15.2,18.4,19.3
28037,Franklin,"7,642","5,885",9.8,17.4,41.7,50.4,19.4,34.8,16.0,16.8,20.5
28113,Pike,"39,644","29,629",12.4,18.3,45.3,49.6,21.7,36.9,17.4,18.9,21.3
28019,Choctaw,"8,037","6,355",8.1,16.5,41.3,48.2,18.4,33.5,15.3,15.9,20.1
28091,Marion,"24,050","18,536",11.2,16.8,43.9,48.0,21.6,34.1,16.6,18.5,21.8
28101,Newton,"21,029","15,905",11.5,16.1,43.5,44.7,20.7,35.4,16.2,18.5,21.5
28147,Walthall,"13,761","10,679",10.5,17.5,41.3,50.4,20.1,33.8,16.0,16.9,20.6
28157,Wilkinson,"8,143","6,501",11.7,20.0,49.1,53.1,22.5,39.1,17.0,17.6,18.1
28075,Lauderdale,"70,904","54,382",9.8,16.5,38.8,47.3,19.2,33.1,15.9,17.2,21.5
28083,Leflore,"26,570","19,181",15.2,20.6,45.3,52.9,24.6,43.2,19.3,20.6,20.6
28079,Leake,"21,135","16,333",11.3,18.1,45.2,46.4,21.6,36.1,17.1,17.6,20.5
28155,Webster,"9,993","7,626",11.0,14.4,40.0,44.2,19.0,31.4,15.0,17.0,22.0
28067,Jones,"66,569","50,242",8.8,14.9,43.0,45.1,16.1,30.6,14.3,16.1,20.3
28015,Carroll,"9,731","8,062",12.5,19.1,41.7,50.0,22.4,38.5,18.5,17.1,20.8
28141,Tishomingo,"18,619","14,655",9.9,14.5,39.9,43.8,18.7,32.0,15.4,17.1,23.3
28057,Itawamba,"23,903","18,903",10.0,12.8,37.0,40.0,18.5,29.7,14.5,17.5,23.7
28121,Rankin,"158,979","123,960",9.8,12.0,36.3,37.7,16.0,27.5,12.7,15.9,22.2
28027,Coahoma,"20,197","14,716",13.4,21.7,47.8,53.8,23.2,42.5,19.2,19.3,19.5
28093,Marshall,"34,110","27,040",11.6,17.2,44.1,49.7,19.7,35.6,16.0,17.4,20.4
28131,Stone,"18,669","14,687",10.0,14.8,41.1,43.8,19.8,33.4,15.7,18.4,23.5
28029,Copiah,"27,719","21,622",9.8,17.6,45.8,48.1,17.8,34.8,15.4,17.0,19.4
