county_fips,county_name,maternal_infant_outcome_score,chronic_disease_score,social_vulnerability_score,access_resource_barrier_score,final_priority_score,priority_level
28053,Humphreys,98.78,90.24,100.0,79.85,92.22,Critical Priority
28051,Holmes,96.34,84.91,96.3,79.76,89.33,Critical Priority
28119,Quitman,93.29,85.06,85.19,88.07,87.9,Critical Priority
28027,Coahoma,96.34,84.68,95.06,67.3,85.85,Critical Priority
28125,Sharkey,86.59,86.36,93.83,71.32,84.52,Critical Priority
28055,Issaquena,100.0,48.7,90.12,88.84,81.92,Critical Priority
28143,Tunica,86.59,84.98,87.65,67.84,81.77,Critical Priority
28083,Leflore,86.59,86.89,88.89,63.42,81.45,Critical Priority
28163,Yazoo,86.59,67.91,97.53,66.83,79.71,High Priority
28133,Sunflower,86.59,71.65,82.72,70.13,77.77,High Priority
28151,Washington,71.95,50.38,98.77,74.92,74.01,High Priority
28135,Tallahatchie,71.95,63.87,81.48,75.65,73.24,High Priority
28021,Claiborne,96.34,65.47,72.84,55.57,72.56,High Priority
28063,Jefferson,86.59,73.63,79.01,50.6,72.46,High Priority
28113,Pike,71.95,74.85,83.95,57.43,72.04,High Priority
28103,Noxubee,54.27,70.66,91.36,67.2,70.87,High Priority
28097,Montgomery,54.27,81.17,74.07,69.77,69.82,High Priority
28017,Chickasaw,71.95,72.48,76.54,57.73,69.68,High Priority
28069,Kemper,71.95,42.3,86.42,71.34,68.0,High Priority
28011,Bolivar,71.95,36.89,92.59,68.84,67.57,High Priority
28123,Scott,54.27,76.22,75.31,62.06,66.97,High Priority
28065,Jefferson Davis,86.59,54.88,55.56,62.05,64.77,High Priority
28007,Attala,71.95,59.3,69.14,53.94,63.58,High Priority
28157,Wilkinson,71.95,72.41,53.09,56.21,63.42,High Priority
28077,Lawrence,54.27,73.25,64.2,57.85,62.39,High Priority
28049,Hinds,86.59,52.82,65.43,41.89,61.68,High Priority
28153,Wayne,71.95,48.48,70.37,50.92,60.43,High Priority
28001,Adams,54.27,53.51,80.25,53.47,60.37,High Priority
28013,Calhoun,54.27,68.45,59.26,57.97,59.99,Moderate Priority
28025,Clay,93.29,61.05,50.62,34.86,59.96,Moderate Priority
28107,Panola,54.27,68.98,60.49,51.47,58.8,Moderate Priority
28091,Marion,54.27,62.35,67.9,50.17,58.67,Moderate Priority
28079,Leake,26.22,62.04,77.78,66.24,58.07,Moderate Priority
28075,Lauderdale,71.95,41.54,66.67,45.25,56.35,Moderate Priority
28029,Copiah,71.95,45.27,45.68,56.47,54.84,Moderate Priority
28005,Amite,26.22,73.4,46.91,68.35,53.72,Moderate Priority
28159,Winston,54.27,55.64,39.51,56.52,51.49,Moderate Priority
28043,Grenada,39.02,64.71,48.15,49.46,50.34,Moderate Priority
28099,Neshoba,7.32,70.58,71.6,50.2,49.93,Moderate Priority
28161,Yalobusha,54.27,60.9,30.86,48.92,48.74,Moderate Priority
28035,Forrest,71.95,25.3,61.73,35.9,48.72,Moderate Priority
28147,Walthall,26.22,48.48,58.02,61.85,48.64,Moderate Priority
28015,Carroll,54.27,67.0,24.69,48.61,48.64,Moderate Priority
28093,Marshall,26.22,53.89,49.38,55.58,46.27,Moderate Priority
28061,Jasper,71.95,44.74,13.58,53.47,45.94,Moderate Priority
28129,Smith,26.22,58.38,35.8,52.73,43.28,Moderate Priority
28003,Alcorn,39.02,37.04,54.32,42.32,43.18,Moderate Priority
28131,Stone,26.22,47.41,40.74,58.01,43.09,Moderate Priority
28031,Covington,39.02,47.03,28.4,55.72,42.54,Moderate Priority
28023,Clarke,39.02,42.68,38.27,49.58,42.39,Moderate Priority
28095,Monroe,86.59,43.45,7.41,32.04,42.37,Moderate Priority
28139,Tippah,14.63,48.09,62.96,43.74,42.36,Moderate Priority
28037,Franklin,54.27,47.71,16.05,50.3,42.08,Moderate Priority
28101,Newton,39.02,55.79,18.52,51.37,41.18,Moderate Priority
28009,Benton,7.32,43.98,43.21,69.39,40.97,Moderate Priority
28149,Warren,71.95,27.59,34.57,28.94,40.76,Moderate Priority
28111,Perry,3.66,71.49,32.1,52.9,40.04,Moderate Priority
28127,Simpson,39.02,44.59,29.63,42.2,38.86,Lower Priority
28087,Lowndes,71.95,27.52,22.22,30.85,38.13,Lower Priority
28047,Harrison,26.22,28.51,56.79,40.04,37.89,Lower Priority
28141,Tishomingo,26.22,36.66,33.33,54.48,37.67,Lower Priority
28085,Lincoln,39.02,49.16,11.11,35.28,33.64,Lower Priority
28137,Tate,14.63,26.22,51.85,39.32,33.01,Lower Priority
28067,Jones,39.02,25.23,27.16,40.03,32.86,Lower Priority
28155,Webster,54.27,33.46,9.88,32.11,32.43,Lower Priority
28019,Choctaw,39.02,32.93,19.75,37.31,32.25,Lower Priority
28105,Oktibbeha,39.02,25.38,20.99,40.99,31.6,Lower Priority
28041,Greene,1.22,34.6,44.44,45.61,31.47,Lower Priority
28081,Lee,54.27,29.27,23.46,16.55,30.89,Lower Priority
28039,George,3.66,36.59,41.98,40.81,30.76,Lower Priority
28117,Prentiss,39.02,34.38,12.35,29.55,28.82,Lower Priority
28115,Pontotoc,14.63,25.91,17.28,40.9,24.68,Lower Priority
28059,Jackson,14.63,15.93,37.04,27.52,23.78,Lower Priority
28145,Union,14.63,21.04,25.93,30.59,23.05,Lower Priority
28109,Pearl River,14.63,26.37,14.81,35.53,22.84,Lower Priority
28057,Itawamba,26.22,30.41,0.0,29.11,21.43,Lower Priority
28045,Hancock,7.32,33.38,3.7,35.05,19.86,Lower Priority
28073,Lamar,14.63,18.29,8.64,23.95,16.38,Lower Priority
28071,Lafayette,3.66,25.08,2.47,28.54,14.94,Lower Priority
28033,DeSoto,14.63,10.9,6.17,17.7,12.35,Lower Priority
28089,Madison,26.22,4.95,4.94,7.72,10.96,Lower Priority
28121,Rankin,14.63,14.33,1.23,7.48,9.42,Lower Priority
